#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-27 02:26:32 EDT      (sdww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/wa/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 14243000 COWLITZ RIVER AT CASTLE ROCK, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150500	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	14243000	00060	150500	1927	1	14420
USGS	14243000	00060	150500	1927	2	14150
USGS	14243000	00060	150500	1927	3	8448
USGS	14243000	00060	150500	1927	4	8370
USGS	14243000	00060	150500	1927	5	12830
USGS	14243000	00060	150500	1927	6	13610
USGS	14243000	00060	150500	1927	7	5287
USGS	14243000	00060	150500	1927	8	2663
USGS	14243000	00060	150500	1927	9	3770
USGS	14243000	00060	150500	1927	10	9546
USGS	14243000	00060	150500	1927	11	20410
USGS	14243000	00060	150500	1927	12	12270
USGS	14243000	00060	150500	1928	1	17550
USGS	14243000	00060	150500	1928	2	5676
USGS	14243000	00060	150500	1928	3	13260
USGS	14243000	00060	150500	1928	4	12910
USGS	14243000	00060	150500	1928	5	13990
USGS	14243000	00060	150500	1928	6	6314
USGS	14243000	00060	150500	1928	7	4283
USGS	14243000	00060	150500	1928	8	2366
USGS	14243000	00060	150500	1928	9	1819
USGS	14243000	00060	150500	1928	10	3298
USGS	14243000	00060	150500	1928	11	3918
USGS	14243000	00060	150500	1928	12	6077
USGS	14243000	00060	150500	1929	1	5647
USGS	14243000	00060	150500	1929	2	4280
USGS	14243000	00060	150500	1929	3	9045
USGS	14243000	00060	150500	1929	4	10050
USGS	14243000	00060	150500	1929	5	14170
USGS	14243000	00060	150500	1929	6	12450
USGS	14243000	00060	150500	1929	7	4757
USGS	14243000	00060	150500	1929	8	2319
