#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1080: Brown Top, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brown Top (1080) 
# Washington  SNOTEL Site - 5830 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 10, 2021 7:21:10 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2009-09-18,0.0,E,,,,
2009-09-19,0.0,E,,,,
2009-09-20,0.0,E,,,,
2009-09-21,0.0,E,,,,
2009-09-22,0.0,E,,,,
2009-09-23,0.0,E,,,,
2009-09-24,0.0,E,,,,
2009-09-25,0.0,E,,,,
2009-09-26,0.0,E,,,,
2009-09-27,0.0,E,,,,
2009-09-28,0.0,E,,,,
2009-09-29,0.0,E,,,,
2009-09-30,0.0,E,,,,
2009-10-01,0.0,E,,,,
2009-10-02,0.8,V,,,,
2009-10-03,1.2,V,,24.0,V,U
2009-10-04,1.0,V,,25.0,V,U
2009-10-05,0.8,V,,,,
2009-10-06,0.9,V,,,,
2009-10-07,0.7,V,,,,
2009-10-08,0.1,V,,,,
2009-10-09,0.4,V,,,,
2009-10-10,0.0,E,,,,
2009-10-11,0.0,E,,,,
2009-10-12,0.1,V,,,,
2009-10-13,0.3,V,,,,
2009-10-14,0.6,V,,,,
2009-10-15,0.6,V,,,,
2009-10-16,0.5,V,,,,
2009-10-17,0.6,V,,,,
2009-10-18,0.5,V,,,,
2009-10-19,0.4,V,,,,
2009-10-20,0.6,V,,,,
2009-10-21,0.6,V,,,,
2009-10-22,0.8,V,,,,
2009-10-23,0.4,V,,,,
2009-10-24,0.4,V,,,,
2009-10-25,0.0,V,,,,
2009-10-26,0.7,V,,,,
2009-10-27,1.8,V,,13.8,V,U
2009-10-28,2.0,V,,16.7,V,U
2009-10-29,2.4,V,,20.0,E,U
2009-10-30,2.4,V,,21.8,V,U
2009-10-31,2.0,V,,25.0,V,U
2009-11-01,1.9,V,,21.1,V,U
2009-11-02,1.9,V,,23.8,V,U
2009-11-03,2.2,V,,22.0,V,U
2009-11-04,2.2,V,,27.5,V,U
2009-11-05,2.1,V,,26.2,V,U
2009-11-06,3.2,V,,24.6,V,U
2009-11-07,5.3,V,,16.6,V,U
2009-11-08,6.6,V,,16.5,V,U
2009-11-09,7.3,V,,17.8,V,U
2009-11-10,8.2,V,,18.2,V,U
2009-11-11,9.7,V,,16.4,V,U
2009-11-12,10.1,V,,17.4,V,U
2009-11-13,10.2,V,,19.2,V,U
2009-11-14,10.7,V,,19.1,V,U
2009-11-15,11.1,V,,20.9,V,U
2009-11-16,12.0,V,,21.8,V,U
2009-11-17,15.7,V,,20.7,E,U
2009-11-18,18.2,V,,21.2,E,U
2009-11-19,19.6,V,,21.1,E,U
2009-11-20,22.4,V,,22.2,V,U
2009-11-21,23.6,V,,22.9,V,U
2009-11-22,24.7,V,,23.1,V,U
2009-11-23,25.3,V,,24.3,V,U
2009-11-24,25.5,V,,25.5,V,U
2009-11-25,25.7,V,,27.1,V,U
2009-11-26,26.6,V,,29.9,V,U
2009-11-27,26.9,V,,30.6,V,U
2009-11-28,26.7,V,,31.4,V,U
2009-11-29,27.3,V,,32.1,V,U
2009-11-30,27.5,V,,33.1,V,U
2009-12-01,28.0,V,,32.9,V,U
2009-12-02,27.8,V,,33.1,V,U
