#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1085: Cayuse Pass, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cayuse Pass (1085) 
# Washington  SNOTEL Site - 5240 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 10, 2021 7:16:21 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2006-10-01,0.0,E,,,,
2006-10-02,0.0,E,,,,
2006-10-03,0.0,E,,,,
2006-10-04,0.0,E,,,,
2006-10-05,0.0,E,,,,
2006-10-06,0.0,E,,,,
2006-10-07,0.0,E,,,,
2006-10-08,0.0,E,,,,
2006-10-09,0.0,E,,,,
2006-10-10,0.0,E,,,,
2006-10-11,0.0,E,,,,
2006-10-12,0.0,E,,,,
2006-10-13,0.0,E,,,,
2006-10-14,0.0,E,,,,
2006-10-15,0.0,E,,,,
2006-10-16,0.0,E,,,,
2006-10-17,0.0,E,,,,
2006-10-18,0.0,E,,,,
2006-10-19,0.0,E,,,,
2006-10-20,0.0,E,,,,
2006-10-21,0.0,E,,,,
2006-10-22,0.0,E,,,,
2006-10-23,0.0,E,,,,
2006-10-24,0.0,E,,,,
2006-10-25,0.0,E,,,,
2006-10-26,0.1,E,,,,
2006-10-27,0.1,E,,,,
2006-10-28,0.0,E,,,,
2006-10-29,0.0,E,,,,
2006-10-30,0.0,E,,,,
2006-10-31,0.0,E,,,,
2006-11-01,0.3,V,,,,
2006-11-02,0.7,V,,,,
2006-11-03,1.1,V,,13.8,E,U
2006-11-04,1.0,V,,14.3,E,U
2006-11-05,1.1,V,,13.8,E,U
2006-11-06,1.6,V,,14.5,E,U
2006-11-07,2.1,V,,14.0,E,U
2006-11-08,1.1,V,,13.8,E,U
2006-11-09,1.0,V,,14.3,E,U
2006-11-10,1.1,V,,13.8,E,U
2006-11-11,2.7,V,,14.2,E,U
2006-11-12,3.1,V,,15.5,V,U
2006-11-13,6.1,V,,16.9,E,U
2006-11-14,7.0,V,,17.5,E,U
2006-11-15,7.8,V,,19.0,V,U
2006-11-16,9.2,V,,20.9,E,U
2006-11-17,8.8,V,,21.0,E,U
2006-11-18,8.9,V,,21.2,E,U
2006-11-19,9.3,V,,22.1,E,U
2006-11-20,9.4,V,,21.9,E,U
2006-11-21,10.0,V,,22.2,E,U
2006-11-22,11.4,V,,23.8,E,U
2006-11-23,12.7,V,,24.0,E,U
2006-11-24,15.5,V,,23.8,E,U
2006-11-25,16.4,V,,26.9,E,U
2006-11-26,16.8,V,,27.1,E,U
2006-11-27,18.9,V,,27.0,E,U
2006-11-28,19.4,V,,29.0,E,U
2006-11-29,20.0,V,,29.0,E,U
2006-11-30,21.0,V,,29.2,E,U
2006-12-01,22.0,V,,30.1,E,U
2006-12-02,22.3,V,,30.1,E,U
2006-12-03,22.5,V,,30.0,E,U
2006-12-04,22.7,V,,29.9,E,U
2006-12-05,22.9,V,,30.1,E,U
2006-12-06,22.8,V,,31.2,V,U
2006-12-07,22.8,V,,32.1,V,U
2006-12-08,22.9,V,,32.7,V,U
2006-12-09,23.4,V,,34.4,V,U
2006-12-10,23.8,V,,34.5,E,U
2006-12-11,23.4,V,,33.0,E,U
2006-12-12,24.9,V,,32.8,E,U
2006-12-13,25.7,V,,32.9,E,U
2006-12-14,26.8,V,,33.1,E,U
2006-12-15,29.9,V,,36.0,E,U
