#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1107: Buckinghorse, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Buckinghorse (1107) 
# Washington  SNOTEL Site - 4870 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 10, 2021 7:23:37 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2008-09-10,0.0,E,,,,
2008-09-11,0.0,E,,,,
2008-09-12,0.0,V,,,,
2008-09-13,0.0,V,,,,
2008-09-14,0.0,V,,,,
2008-09-15,0.0,E,,,,
2008-09-16,0.0,E,,,,
2008-09-17,0.0,E,,,,
2008-09-18,0.0,E,,,,
2008-09-19,0.0,E,,,,
2008-09-20,0.0,E,,,,
2008-09-21,0.0,E,,,,
2008-09-22,0.0,E,,,,
2008-09-23,0.0,E,,,,
2008-09-24,0.0,E,,,,
2008-09-25,0.0,E,,,,
2008-09-26,0.0,E,,,,
2008-09-27,0.0,E,,,,
2008-09-28,0.0,E,,,,
2008-09-29,0.0,E,,,,
2008-09-30,0.0,E,,,,
2008-10-01,0.0,E,,,,
2008-10-02,0.0,E,,,,
2008-10-03,0.0,E,,,,
2008-10-04,0.0,E,,,,
2008-10-05,0.0,E,,,,
2008-10-06,0.0,E,,,,
2008-10-07,0.0,E,,,,
2008-10-08,0.0,E,,,,
2008-10-09,0.0,V,,,,
2008-10-10,0.0,V,,,,
2008-10-11,0.0,E,,,,
2008-10-12,0.0,V,,,,
2008-10-13,0.0,E,,,,
2008-10-14,0.0,E,,,,
2008-10-15,0.0,E,,,,
2008-10-16,0.0,E,,,,
2008-10-17,0.0,V,,,,
2008-10-18,0.0,E,,,,
2008-10-19,0.0,E,,,,
2008-10-20,0.0,E,,,,
2008-10-21,0.7,V,,,,
2008-10-22,0.7,V,,,,
2008-10-23,0.3,V,,,,
2008-10-24,0.0,V,,,,
2008-10-25,0.0,V,,,,
2008-10-26,0.0,E,,,,
2008-10-27,0.0,E,,,,
2008-10-28,0.0,E,,,,
2008-10-29,0.0,E,,,,
2008-10-30,0.0,E,,,,
2008-10-31,0.0,E,,,,
2008-11-01,0.0,V,,,,
2008-11-02,0.0,V,,,,
2008-11-03,0.8,V,,,,
2008-11-04,1.3,V,,26.0,V,U
2008-11-05,1.6,V,,32.0,V,U
2008-11-06,1.7,V,,18.9,V,U
2008-11-07,0.2,V,,,,
2008-11-08,0.0,E,,,,
2008-11-09,0.0,E,,,,
2008-11-10,0.0,E,,,,
2008-11-11,0.2,V,,,,
2008-11-12,0.6,V,,,,
2008-11-13,0.0,E,,,,
2008-11-14,0.0,E,,,,
2008-11-15,0.0,E,,,,
2008-11-16,0.0,E,,,,
2008-11-17,0.0,E,,,,
2008-11-18,0.0,E,,,,
2008-11-19,0.0,E,,,,
2008-11-20,0.0,E,,,,
2008-11-21,1.0,V,,16.7,V,U
2008-11-22,1.9,V,,21.1,V,U
2008-11-23,1.9,V,,23.8,V,U
2008-11-24,1.9,V,,27.1,V,U
2008-11-25,1.9,V,,31.7,V,U
2008-11-26,1.9,V,,31.7,V,U
2008-11-27,2.0,V,,33.3,V,U
2008-11-28,2.0,V,,33.3,V,U
2008-11-29,2.0,V,,50.0,V,U
2008-11-30,1.3,V,,43.3,V,U
2008-12-01,1.1,V,,,,
2008-12-02,0.7,V,,,,
2008-12-03,0.7,V,,,,
2008-12-04,0.8,V,,,,
2008-12-05,1.0,V,,100.0,V,U
2008-12-06,0.9,V,,,,
2008-12-07,0.7,V,,,,
2008-12-08,1.0,V,,50.0,V,U
2008-12-09,0.7,V,,,,
2008-12-10,1.3,V,,65.0,V,U
2008-12-11,1.0,V,,100.0,V,U
2008-12-12,1.1,V,,55.0,V,U
2008-12-13,3.3,V,,27.5,V,U
2008-12-14,3.5,V,,26.9,V,U
2008-12-15,3.6,V,,30.0,E,U
2008-12-16,3.5,V,,26.9,V,U
2008-12-17,3.5,V,,29.2,V,U
2008-12-18,4.3,V,,25.3,V,U
2008-12-19,4.9,V,,19.6,V,U
2008-12-20,4.9,V,,23.3,V,U
2008-12-21,6.2,V,,23.8,V,U
2008-12-22,7.1,V,,26.3,V,U
2008-12-23,7.1,V,,28.4,V,U
2008-12-24,7.4,V,,28.5,E,U
2008-12-25,8.8,V,,21.5,V,U
2008-12-26,8.9,V,,24.1,V,U
2008-12-27,10.2,V,,24.3,V,U
2008-12-28,11.0,V,,26.2,E,U
2008-12-29,11.4,V,,27.1,V,U
2008-12-30,13.2,V,,24.0,V,U
2008-12-31,13.8,V,,25.6,V,U
2009-01-01,15.2,V,,25.8,V,U
2009-01-02,16.3,V,,27.2,V,U
2009-01-03,16.3,V,,28.6,V,U
