#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1109: Calamity, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Calamity (1109) 
# Washington  SNOTEL Site - 2500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 11, 2021 10:04:43 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2008-08-21,0.0,E,,,,
2008-08-22,0.0,E,,,,
2008-08-23,0.0,E,,,,
2008-08-24,0.0,E,,,,
2008-08-25,0.0,E,,,,
2008-08-26,0.0,E,,,,
2008-08-27,0.0,E,,,,
2008-08-28,0.0,E,,,,
2008-08-29,0.0,E,,,,
2008-08-30,0.0,E,,,,
2008-08-31,0.0,E,,,,
2008-09-01,0.0,E,,,,
2008-09-02,0.0,E,,,,
2008-09-03,0.0,E,,,,
2008-09-04,0.0,E,,,,
2008-09-05,0.0,E,,,,
2008-09-06,0.0,E,,,,
2008-09-07,0.0,E,,,,
2008-09-08,0.0,E,,,,
2008-09-09,0.0,E,,,,
2008-09-10,0.0,E,,,,
2008-09-11,0.0,E,,,,
2008-09-12,0.0,E,,,,
2008-09-13,0.0,E,,,,
2008-09-14,0.0,E,,,,
2008-09-15,0.0,E,,,,
2008-09-16,0.0,E,,,,
2008-09-17,0.0,E,,,,
2008-09-18,0.0,E,,,,
2008-09-19,0.0,E,,,,
2008-09-20,0.0,E,,,,
2008-09-21,0.0,E,,,,
2008-09-22,0.0,E,,,,
2008-09-23,0.0,E,,,,
2008-09-24,0.0,E,,,,
2008-09-25,0.0,E,,,,
2008-09-26,0.0,E,,,,
2008-09-27,0.0,E,,,,
2008-09-28,0.0,E,,,,
2008-09-29,0.0,E,,,,
2008-09-30,0.0,E,,,,
2008-10-01,0.0,E,,,,
2008-10-02,0.0,E,,,,
2008-10-03,0.0,E,,,,
2008-10-04,0.0,E,,,,
2008-10-05,0.0,E,,,,
2008-10-06,0.0,E,,,,
2008-10-07,0.0,E,,,,
2008-10-08,0.0,E,,,,
2008-10-09,0.0,E,,,,
2008-10-10,0.0,E,,,,
2008-10-11,0.0,E,,,,
2008-10-12,0.0,E,,,,
2008-10-13,0.0,E,,,,
2008-10-14,0.0,E,,,,
2008-10-15,0.0,E,,,,
2008-10-16,0.0,E,,,,
2008-10-17,0.0,E,,,,
2008-10-18,0.0,E,,,,
2008-10-19,0.0,E,,,,
2008-10-20,0.0,E,,,,
2008-10-21,0.0,E,,,,
2008-10-22,0.0,E,,,,
2008-10-23,0.0,E,,,,
2008-10-24,0.0,E,,,,
2008-10-25,0.0,E,,,,
2008-10-26,0.0,E,,,,
2008-10-27,0.0,E,,,,
2008-10-28,0.0,E,,,,
2008-10-29,0.0,E,,,,
2008-10-30,0.0,E,,,,
2008-10-31,0.0,E,,,,
2008-11-01,0.0,E,,,,
2008-11-02,0.0,E,,,,
2008-11-03,0.2,E,,,,
2008-11-04,0.8,V,,,,
2008-11-05,0.9,V,,,,
2008-11-06,0.9,V,,,,
2008-11-07,0.6,V,,,,
2008-11-08,0.0,E,,,,
2008-11-09,0.0,E,,,,
2008-11-10,0.0,E,,,,
2008-11-11,0.0,E,,,,
2008-11-12,0.0,E,,,,
2008-11-13,0.0,E,,,,
2008-11-14,0.0,E,,,,
2008-11-15,0.0,E,,,,
2008-11-16,0.0,E,,,,
