#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1129: Indian Rock, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Indian Rock (1129) 
# Washington  SNOTEL Site - 5360 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 11, 2021 10:02:14 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2008-11-06,0.0,E,,,,
2008-11-07,1.1,E,,,,
2008-11-08,0.9,E,,,,
2008-11-09,0.7,E,,,,
2008-11-10,0.6,E,,,,
2008-11-11,0.5,E,,,,
2008-11-12,0.5,E,,,,
2008-11-13,0.3,E,,,,
2008-11-14,0.1,E,,,,
2008-11-15,0.2,E,,,,
2008-11-16,0.1,E,,,,
2008-11-17,0.0,E,,,,
2008-11-18,0.1,E,,,,
2008-11-19,0.0,E,,,,
2008-11-20,0.0,E,,,,
2008-11-21,0.6,E,,,,
2008-11-22,0.8,E,,,,
2008-11-23,0.6,E,,,,
2008-11-24,0.6,E,,,,
2008-11-25,0.9,E,,,,
2008-11-26,0.9,E,,,,
2008-11-27,0.9,E,,,,
2008-11-28,1.1,E,,,,
2008-11-29,1.1,E,,,,
2008-11-30,0.6,E,,,,
2008-12-01,0.3,E,,,,
2008-12-02,0.1,E,,,,
2008-12-03,0.1,E,,,,
2008-12-04,0.1,E,,,,
2008-12-05,0.2,E,,,,
2008-12-06,0.2,E,,,,
2008-12-07,0.1,E,,,,
2008-12-08,0.2,E,,,,
2008-12-09,0.3,E,,,,
2008-12-10,0.3,E,,,,
2008-12-11,0.2,E,,,,
2008-12-12,0.2,E,,,,
2008-12-13,1.0,V,,25.0,V,U
2008-12-14,1.8,V,,18.0,V,U
2008-12-15,1.8,V,,15.0,V,U
2008-12-16,1.9,V,,17.3,V,U
2008-12-17,2.1,V,,19.1,V,U
2008-12-18,3.2,V,,21.3,V,U
2008-12-19,4.0,V,,20.0,E,U
2008-12-20,4.0,V,,19.0,V,U
2008-12-21,4.5,V,,18.0,V,U
2008-12-22,4.8,V,,20.0,V,U
2008-12-23,4.9,V,,20.4,V,U
2008-12-24,4.9,V,,20.4,V,U
2008-12-25,6.2,V,,21.4,E,U
2008-12-26,6.2,V,,22.1,E,U
2008-12-27,6.8,V,,23.4,E,U
2008-12-28,7.8,V,,25.2,V,U
2008-12-29,8.6,V,,27.7,V,U
2008-12-30,10.5,V,,25.0,V,U
2008-12-31,10.8,V,,26.3,V,U
2009-01-01,11.3,V,,27.6,V,U
2009-01-02,15.1,V,,24.0,E,U
2009-01-03,15.9,V,,24.8,V,U
2009-01-04,15.9,V,,26.1,E,U
2009-01-05,16.5,V,,25.8,E,U
2009-01-06,17.3,V,,27.0,V,U
2009-01-07,17.7,V,,28.5,V,U
2009-01-08,17.6,V,,30.9,V,U
2009-01-09,18.1,V,,31.8,V,U
2009-01-10,18.1,V,,32.3,V,U
2009-01-11,17.7,V,,32.2,V,U
2009-01-12,17.7,V,,32.8,V,U
2009-01-13,17.7,V,,33.4,V,U
2009-01-14,17.5,V,,33.7,V,U
2009-01-15,17.7,V,,34.7,V,U
2009-01-16,17.6,V,,35.2,V,U
2009-01-17,17.5,V,,35.0,V,U
2009-01-18,17.5,V,,35.7,V,U
2009-01-19,17.3,V,,35.3,V,U
2009-01-20,17.3,V,,36.0,V,U
2009-01-21,17.3,V,,36.0,V,U
