#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1159: Gold Axe Camp, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Gold Axe Camp (1159) 
# Washington  SNOTEL Site - 5360 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 10, 2021 7:04:51 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2010-10-01,0.0,E,,,,
2010-10-02,0.0,E,,,,
2010-10-03,0.0,E,,,,
2010-10-04,0.0,E,,,,
2010-10-05,0.0,E,,,,
2010-10-06,0.0,E,,,,
2010-10-07,0.0,E,,,,
2010-10-08,0.0,E,,,,
2010-10-09,0.0,E,,,,
2010-10-10,0.0,E,,,,
2010-10-11,0.0,E,,,,
2010-10-12,0.0,E,,,,
2010-10-13,0.0,E,,,,
2010-10-14,0.0,E,,,,
2010-10-15,0.0,E,,,,
2010-10-16,0.0,E,,,,
2010-10-17,0.0,E,,,,
2010-10-18,0.0,E,,,,
2010-10-19,0.0,V,,,,
2010-10-20,0.0,E,,,,
2010-10-21,0.0,E,,,,
2010-10-22,0.0,E,,,,
2010-10-23,0.0,E,,,,
2010-10-24,0.0,E,,,,
2010-10-25,0.1,E,,,,
2010-10-26,0.0,E,,,,
2010-10-27,0.0,V,,,,
2010-10-28,0.0,V,,,,
2010-10-29,0.1,V,,,,
2010-10-30,0.0,V,,,,
2010-10-31,0.1,V,,,,
2010-11-01,0.0,V,,,,
2010-11-02,0.0,V,,,,
2010-11-03,0.0,V,,,,
2010-11-04,0.0,E,,,,
2010-11-05,0.0,E,,,,
2010-11-06,0.0,E,,,,
2010-11-07,0.0,E,,,,
2010-11-08,0.0,E,,,,
2010-11-09,0.0,E,,,,
2010-11-10,0.0,E,,,,
2010-11-11,0.0,E,,,,
2010-11-12,0.0,E,,,,
2010-11-13,0.2,V,,,,
2010-11-14,0.5,V,,,,
2010-11-15,0.6,V,,,,
2010-11-16,0.8,V,,,,
2010-11-17,0.6,V,,,,
2010-11-18,0.8,V,,,,
2010-11-19,0.9,V,,,,
2010-11-20,1.1,V,,18.3,V,U
2010-11-21,0.9,V,,,,
2010-11-22,0.9,V,,,,
2010-11-23,1.0,V,,16.7,V,U
2010-11-24,0.8,V,,,,
2010-11-25,1.2,V,,15.0,V,U
2010-11-26,1.4,V,,17.5,E,U
2010-11-27,1.7,V,,21.2,E,U
2010-11-28,1.7,V,,21.2,E,U
2010-11-29,1.5,V,,18.8,E,U
2010-11-30,1.7,V,,18.9,V,U
2010-12-01,2.1,V,,35.0,V,U
2010-12-02,2.1,V,,30.0,V,U
2010-12-03,1.9,V,,23.8,V,U
2010-12-04,2.0,V,,25.0,V,U
2010-12-05,1.9,V,,21.1,V,U
2010-12-06,2.1,V,,23.3,V,U
2010-12-07,2.2,V,,24.4,V,U
2010-12-08,2.5,V,,25.0,V,U
2010-12-09,2.7,V,,22.5,V,U
2010-12-10,2.7,V,,22.5,V,U
2010-12-11,2.4,V,,20.0,V,U
2010-12-12,3.2,V,,18.8,V,U
2010-12-13,3.4,V,,21.2,V,U
2010-12-14,3.5,V,,20.6,V,U
2010-12-15,3.4,V,,20.0,V,U
2010-12-16,3.3,V,,20.6,V,U
2010-12-17,3.5,V,,21.9,V,U
2010-12-18,3.4,V,,22.7,V,U
2010-12-19,3.6,V,,22.5,V,U
