#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 908: Alpine Meadows, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alpine Meadows (908) 
# Washington  SNOTEL Site - 3500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 19, 2022 10:09:41 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
1994-10-01,0.0,E,,,,
1994-10-02,0.0,V,,,,
1994-10-03,0.0,V,,,,
1994-10-04,0.0,E,,,,
1994-10-05,0.0,E,,,,
1994-10-06,0.0,E,,,,
1994-10-07,0.0,E,,,,
1994-10-08,0.0,E,,,,
1994-10-09,0.0,E,,,,
1994-10-10,0.0,E,,,,
1994-10-11,0.0,E,,,,
1994-10-12,0.0,E,,,,
1994-10-13,0.0,E,,,,
1994-10-14,0.0,E,,,,
1994-10-15,0.0,E,,,,
1994-10-16,0.0,E,,,,
1994-10-17,0.0,E,,,,
1994-10-18,0.0,E,,,,
1994-10-19,0.0,E,,,,
1994-10-20,0.0,E,,,,
1994-10-21,0.0,E,,,,
1994-10-22,0.0,E,,,,
1994-10-23,0.0,E,,,,
1994-10-24,0.0,E,,,,
1994-10-25,0.3,E,,,,
1994-10-26,0.6,V,,,,
1994-10-27,0.5,V,,,,
1994-10-28,0.5,V,,,,
1994-10-29,1.6,V,,,,
1994-10-30,1.5,V,,,,
1994-10-31,1.9,V,,,,
1994-11-01,3.2,V,,,,
1994-11-02,5.5,V,,,,
1994-11-03,5.6,V,,,,
1994-11-04,5.7,V,,,,
1994-11-05,6.6,V,,,,
1994-11-06,6.5,V,,,,
1994-11-07,7.5,V,,,,
1994-11-08,8.3,V,,,,
1994-11-09,8.5,V,,,,
1994-11-10,8.6,V,,,,
1994-11-11,8.6,V,,,,
1994-11-12,9.4,V,,,,
1994-11-13,10.0,V,,,,
1994-11-14,10.4,V,,,,
1994-11-15,11.4,V,,,,
1994-11-16,12.3,V,,,,
1994-11-17,14.5,V,,,,
1994-11-18,14.5,E,,,,
1994-11-19,14.5,E,,,,
1994-11-20,14.9,V,,,,
1994-11-21,15.5,E,,,,
1994-11-22,16.1,V,,,,
1994-11-23,16.2,E,,,,
1994-11-24,17.2,V,,,,
1994-11-25,17.5,E,,,,
1994-11-26,18.0,V,,,,
1994-11-27,18.8,V,,,,
1994-11-28,19.9,V,,,,
1994-11-29,21.2,V,,,,
1994-11-30,22.2,V,,,,
1994-12-01,21.2,V,,,,
1994-12-02,22.9,V,,,,
1994-12-03,23.7,V,,,,
1994-12-04,23.8,V,,,,
1994-12-05,23.9,V,,,,
1994-12-06,23.9,E,,,,
1994-12-07,24.4,E,,,,
1994-12-08,25.2,V,,,,
1994-12-09,27.5,V,,,,
1994-12-10,27.6,V,,,,
1994-12-11,27.9,V,,,,
1994-12-12,28.0,V,,,,
1994-12-13,28.0,E,,,,
1994-12-14,28.0,E,,,,
1994-12-15,28.9,V,,,,
1994-12-16,30.6,E,,,,
1994-12-17,31.4,V,,,,
1994-12-18,31.0,V,,,,
1994-12-19,30.7,V,,,,
1994-12-20,30.4,V,,,,
1994-12-21,30.5,V,,,,
1994-12-22,30.5,E,,,,
1994-12-23,30.5,V,,,,
1994-12-24,30.5,E,,,,
1994-12-25,31.1,V,,,,
1994-12-26,31.7,V,,,,
1994-12-27,32.1,V,,,,
