#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 999: Marten Ridge, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Marten Ridge (999) 
# Washington  SNOTEL Site - 3520 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Nov 11, 2021 10:10:51 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
2006-07-12,0.0,V,,,,
2006-07-13,0.0,E,,,,
2006-07-14,0.0,E,,,,
2006-07-15,0.0,E,,,,
2006-07-16,0.0,E,,,,
2006-07-17,0.0,E,,,,
2006-07-18,0.0,E,,,,
2006-07-19,0.0,E,,,,
2006-07-20,0.0,E,,,,
2006-07-21,0.0,E,,,,
2006-07-22,0.0,E,,,,
2006-07-23,0.0,E,,,,
2006-07-24,0.0,E,,,,
2006-07-25,0.0,E,,,,
2006-07-26,0.0,E,,,,
2006-07-27,0.0,E,,,,
2006-07-28,0.0,E,,,,
2006-07-29,0.0,E,,,,
2006-07-30,0.0,V,,,,
2006-07-31,0.0,E,,,,
2006-08-01,0.0,V,,,,
2006-08-02,0.0,E,,,,
2006-08-03,0.0,E,,,,
2006-08-04,0.0,E,,,,
2006-08-05,0.0,E,,,,
2006-08-06,0.0,E,,,,
2006-08-07,0.0,E,,,,
2006-08-08,0.0,E,,,,
2006-08-09,0.0,E,,,,
2006-08-10,0.0,V,,,,
2006-08-11,0.0,E,,,,
2006-08-12,0.0,E,,,,
2006-08-13,0.0,E,,,,
2006-08-14,0.0,E,,,,
2006-08-15,0.0,E,,,,
2006-08-16,0.0,E,,,,
2006-08-17,0.0,E,,,,
2006-08-18,0.0,E,,,,
2006-08-19,0.0,E,,,,
2006-08-20,0.0,E,,,,
2006-08-21,0.0,E,,,,
2006-08-22,0.0,E,,,,
2006-08-23,0.0,E,,,,
2006-08-24,0.0,V,,,,
2006-08-25,0.0,E,,,,
2006-08-26,0.0,E,,,,
2006-08-27,0.0,E,,,,
2006-08-28,0.0,E,,,,
2006-08-29,0.0,E,,,,
2006-08-30,0.0,E,,,,
2006-08-31,0.0,E,,,,
2006-09-01,0.0,E,,,,
2006-09-02,0.0,E,,,,
2006-09-03,0.0,E,,,,
2006-09-04,0.0,E,,,,
2006-09-05,0.0,E,,,,
2006-09-06,0.0,E,,,,
2006-09-07,0.0,E,,,,
2006-09-08,0.0,E,,,,
2006-09-09,0.0,E,,,,
2006-09-10,0.0,E,,,,
2006-09-11,0.0,E,,,,
2006-09-12,0.0,E,,,,
2006-09-13,0.0,E,,,,
2006-09-14,0.0,E,,,,
2006-09-15,0.0,E,,,,
2006-09-16,0.0,E,,,,
2006-09-17,0.0,E,,,,
2006-09-18,0.0,E,,,,
2006-09-19,0.0,E,,,,
2006-09-20,0.0,E,,,,
2006-09-21,0.0,E,,,,
2006-09-22,0.0,E,,,,
2006-09-23,0.0,E,,,,
2006-09-24,0.0,E,,,,
2006-09-25,0.0,E,,,,
2006-09-26,0.0,E,,,,
2006-09-27,0.0,E,,,,
2006-09-28,0.0,E,,,,
2006-09-29,0.0,E,,,,
2006-09-30,0.0,E,,,,
2006-10-01,0.0,E,,,,
2006-10-02,0.0,E,,,,
2006-10-03,0.0,E,,,,
2006-10-04,0.0,E,,,,
2006-10-05,0.0,E,,,,
2006-10-06,0.0,E,,,,
2006-10-07,0.0,E,,,,
2006-10-08,0.0,E,,,,
2006-10-09,0.0,E,,,,
2006-10-10,0.0,E,,,,
2006-10-11,0.0,E,,,,
2006-10-12,0.0,E,,,,
2006-10-13,0.0,E,,,,
2006-10-14,0.0,E,,,,
2006-10-15,0.0,E,,,,
2006-10-16,0.0,E,,,,
2006-10-17,0.0,E,,,,
2006-10-18,0.0,E,,,,
2006-10-19,0.0,E,,,,
2006-10-20,0.0,E,,,,
2006-10-21,0.0,E,,,,
2006-10-22,0.0,E,,,,
2006-10-23,0.0,E,,,,
2006-10-24,0.0,E,,,,
2006-10-25,0.0,E,,,,
2006-10-26,0.0,E,,,,
2006-10-27,0.0,E,,,,
2006-10-28,0.0,E,,,,
2006-10-29,0.0,E,,,,
2006-10-30,0.0,E,,,,
2006-10-31,0.0,E,,,,
2006-11-01,0.0,E,,,,
2006-11-02,0.0,E,,,,
2006-11-03,0.0,E,,,,
2006-11-04,0.0,E,,,,
2006-11-05,0.0,E,,,,
2006-11-06,0.0,E,,,,
2006-11-07,0.0,E,,,,
2006-11-08,0.0,E,,,,
2006-11-09,0.0,E,,,,
2006-11-10,0.0,E,,,,
2006-11-11,3.2,V,,16.8,V,U
2006-11-12,5.2,V,,18.6,E,U
2006-11-13,8.9,V,,20.2,V,U
2006-11-14,10.5,V,,19.4,V,U
2006-11-15,11.9,V,,23.8,E,U
2006-11-16,13.7,V,,34.2,V,U
2006-11-17,12.9,V,,34.9,V,U
2006-11-18,12.9,V,,35.8,V,U
2006-11-19,13.5,V,,38.6,V,U
2006-11-20,13.5,V,,42.2,V,U
2006-11-21,14.5,V,,39.2,V,U
2006-11-22,16.0,V,,34.0,V,U
2006-11-23,17.5,V,,32.4,E,U
2006-11-24,19.2,V,,30.0,V,U
2006-11-25,20.6,V,,25.4,E,U
2006-11-26,21.5,V,,26.5,E,U
2006-11-27,23.0,V,,26.4,E,U
2006-11-28,24.0,V,,27.3,V,U
2006-11-29,24.5,V,,30.2,V,U
2006-11-30,25.6,V,,31.2,V,U
2006-12-01,26.5,V,,32.7,E,U
2006-12-02,26.9,V,,34.5,V,U
2006-12-03,27.2,V,,36.8,V,U
2006-12-04,27.4,V,,37.5,V,U
2006-12-05,27.9,V,,37.7,V,U
2006-12-06,27.9,V,,39.3,V,U
2006-12-07,28.0,V,,40.6,V,U
2006-12-08,28.1,V,,41.9,V,U
2006-12-09,28.2,V,,44.1,V,U
2006-12-10,28.3,V,,44.9,V,U
2006-12-11,28.2,V,,47.0,V,U
2006-12-12,29.5,V,,47.6,V,U
2006-12-13,30.7,V,,47.2,E,U
2006-12-14,31.5,V,,45.7,V,U
2006-12-15,34.5,V,,46.6,V,U
2006-12-16,35.5,V,,46.1,V,U
2006-12-17,35.7,V,,47.0,V,U
2006-12-18,36.0,V,,48.6,V,U
2006-12-19,36.6,V,,48.8,V,U
2006-12-20,37.4,V,,49.2,V,U
2006-12-21,38.5,V,,50.0,V,U
2006-12-22,39.1,V,,46.5,V,U
2006-12-23,39.9,V,,49.9,V,U
2006-12-24,40.9,V,,44.5,V,U
2006-12-25,43.0,V,,43.4,V,U
2006-12-26,43.4,V,,44.3,E,U
2006-12-27,44.1,V,,45.0,E,U
2006-12-28,44.2,V,,44.6,V,U
2006-12-29,44.8,V,,46.7,V,U
2006-12-30,44.9,V,,46.3,V,U
2006-12-31,45.1,V,,47.5,V,U
2007-01-01,45.1,V,,48.0,V,U
2007-01-02,47.2,V,,49.2,V,U
2007-01-03,46.0,V,,49.5,V,U
2007-01-04,49.7,V,,51.2,V,U
2007-01-05,50.8,V,,49.3,V,U
2007-01-06,53.9,V,,43.8,V,U
2007-01-07,55.0,V,,43.7,V,U
2007-01-08,56.8,V,,45.1,V,U
2007-01-09,57.6,V,,46.5,V,U
2007-01-10,57.9,V,,47.9,V,U
2007-01-11,58.1,V,,46.9,V,U
2007-01-12,58.1,V,,48.0,V,U
2007-01-13,58.2,V,,48.9,V,U
2007-01-14,58.2,V,,50.6,V,U
2007-01-15,58.4,V,,50.3,V,U
2007-01-16,58.6,V,,51.4,V,U
2007-01-17,58.9,V,,50.3,V,U
2007-01-18,59.1,V,,49.7,V,U
2007-01-19,60.3,V,,48.2,V,U
2007-01-20,61.6,V,,47.4,E,U
2007-01-21,62.3,V,,46.5,V,U
2007-01-22,62.8,V,,47.2,V,U
2007-01-23,62.4,V,,47.6,V,U
2007-01-24,61.8,V,,48.3,V,U
2007-01-25,61.8,V,,49.0,V,U
2007-01-26,62.0,V,,50.0,V,U
2007-01-27,62.1,V,,50.5,V,U
2007-01-28,62.3,V,,51.1,V,U
2007-01-29,62.4,V,,51.6,V,U
2007-01-30,62.6,V,,51.7,V,U
2007-01-31,62.9,V,,52.4,V,U
2007-02-01,63.1,V,,52.6,V,U
