Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values,snotel_station_id
2006-07-27,0.0,E,,,,,1068
2006-07-28,0.0,E,,,,,1068
2006-07-29,0.0,E,,,,,1068
2006-07-30,0.0,E,,,,,1068
2006-07-31,0.0,E,,,,,1068
2006-08-01,0.0,E,,,,,1068
2006-08-02,0.0,E,,,,,1068
2006-08-03,0.0,E,,,,,1068
2006-08-04,0.0,E,,,,,1068
2006-08-05,0.0,E,,,,,1068
2006-08-06,0.0,E,,,,,1068
2006-08-07,0.0,E,,,,,1068
2006-08-08,0.0,E,,,,,1068
2006-08-09,0.0,E,,,,,1068
2006-08-10,0.0,E,,,,,1068
2006-08-11,0.0,E,,,,,1068
2006-08-12,0.0,E,,,,,1068
2006-08-13,0.0,E,,,,,1068
2006-08-14,0.0,E,,,,,1068
2006-08-15,0.0,E,,,,,1068
2006-08-16,0.0,E,,,,,1068
2006-08-17,0.0,E,,,,,1068
2006-08-18,0.0,E,,,,,1068
2006-08-19,0.0,E,,,,,1068
2006-08-20,0.0,E,,,,,1068
2006-08-21,0.0,E,,,,,1068
2006-08-22,0.0,E,,,,,1068
2006-08-23,0.0,E,,,,,1068
2006-08-24,0.0,E,,,,,1068
2006-08-25,0.0,E,,,,,1068
2006-08-26,0.0,E,,,,,1068
2006-08-27,0.0,E,,,,,1068
2006-08-28,0.0,E,,,,,1068
2006-08-29,0.0,E,,,,,1068
2006-08-30,0.0,E,,,,,1068
2006-08-31,0.0,E,,,,,1068
2006-09-01,0.0,E,,,,,1068
2006-09-02,0.0,E,,,,,1068
2006-09-03,0.0,E,,,,,1068
2006-09-04,0.0,E,,,,,1068
2006-09-05,0.0,E,,,,,1068
2006-09-06,0.0,E,,,,,1068
2006-09-07,0.0,E,,,,,1068
2006-09-08,0.0,E,,,,,1068
2006-09-09,0.0,E,,,,,1068
2006-09-10,0.0,E,,,,,1068
2006-09-11,0.0,E,,,,,1068
2006-09-12,0.0,E,,,,,1068
2006-09-13,0.0,E,,,,,1068
2006-09-14,0.0,E,,,,,1068
2006-09-15,0.0,E,,,,,1068
2006-09-16,0.0,E,,,,,1068
2006-09-17,0.0,E,,,,,1068
2006-09-18,0.0,E,,,,,1068
2006-09-19,0.0,E,,,,,1068
2006-09-20,0.0,E,,,,,1068
2006-09-21,0.0,E,,,,,1068
2006-09-22,0.0,E,,,,,1068
2006-09-23,0.0,E,,,,,1068
2006-09-24,0.0,E,,,,,1068
2006-09-25,0.0,E,,,,,1068
2006-09-26,0.0,E,,,,,1068
2006-09-27,0.0,E,,,,,1068
2006-09-28,0.0,E,,,,,1068
2006-09-29,0.0,E,,,,,1068
2006-09-30,0.0,E,,,,,1068
2006-10-01,0.0,E,,,,,1068
2006-10-02,0.0,E,,,,,1068
2006-10-03,0.0,E,,,,,1068
2006-10-04,0.0,E,,,,,1068
