agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,12186000,00060,149376,1917,10,420.5
USGS,12186000,00060,149376,1917,11,544.8
USGS,12186000,00060,149376,1917,12,3512
USGS,12186000,00060,149376,1918,1,2160
USGS,12186000,00060,149376,1918,2,954.2
USGS,12186000,00060,149376,1918,3,731.7
USGS,12186000,00060,149376,1918,4,1292
USGS,12186000,00060,149376,1918,5,1569
USGS,12186000,00060,149376,1918,6,2393
USGS,12186000,00060,149376,1918,7,1230
USGS,12186000,00060,149376,1918,8,649.6
USGS,12186000,00060,149376,1918,9,322.7
USGS,12186000,00060,149376,1918,10,1128
USGS,12186000,00060,149376,1918,11,977.6
USGS,12186000,00060,149376,1918,12,1579
USGS,12186000,00060,149376,1919,1,1192
USGS,12186000,00060,149376,1919,2,591
USGS,12186000,00060,149376,1919,3,572
USGS,12186000,00060,149376,1919,4,1284
USGS,12186000,00060,149376,1919,5,2082
USGS,12186000,00060,149376,1919,6,2123
USGS,12186000,00060,149376,1919,7,1973
USGS,12186000,00060,149376,1919,8,769.8
USGS,12186000,00060,149376,1919,9,384.2
USGS,12186000,00060,149376,1919,10,260.3
USGS,12186000,00060,149376,1919,11,1428
USGS,12186000,00060,149376,1919,12,1195
USGS,12186000,00060,149376,1920,1,1557
USGS,12186000,00060,149376,1920,2,827.3
USGS,12186000,00060,149376,1920,3,603.5
USGS,12186000,00060,149376,1920,4,554.6
USGS,12186000,00060,149376,1920,5,1200
USGS,12186000,00060,149376,1920,6,1677
USGS,12186000,00060,149376,1920,7,1308
USGS,12186000,00060,149376,1920,8,508.3
USGS,12186000,00060,149376,1920,9,1504
USGS,12186000,00060,149376,1920,10,1889
USGS,12186000,00060,149376,1920,11,843
USGS,12186000,00060,149376,1920,12,840.5
USGS,12186000,00060,149376,1921,1,1006
USGS,12186000,00060,149376,1921,2,1353
USGS,12186000,00060,149376,1921,3,1057
USGS,12186000,00060,149376,1921,6,3405
USGS,12186000,00060,149376,1921,7,1828
USGS,12186000,00060,149376,1921,8,783.7
USGS,12186000,00060,149376,1921,9,910.9
USGS,12186000,00060,149376,1921,10,1429
USGS,12186000,00060,149376,1921,11,1388
USGS,12186000,00060,149376,1921,12,2659
USGS,12186000,00060,149376,1922,1,464.4
USGS,12186000,00060,149376,1922,2,321.1
USGS,12186000,00060,149376,1922,3,340.1
USGS,12186000,00060,149376,1922,4,691.6
USGS,12186000,00060,149376,1922,5,1897
USGS,12186000,00060,149376,1922,6,2684
USGS,12186000,00060,149376,1922,7,1028
USGS,12186000,00060,149376,1922,8,529.4
USGS,12186000,00060,149376,1922,9,455.5
USGS,12186000,00060,149376,1928,10,1075
USGS,12186000,00060,149376,1928,11,482
USGS,12186000,00060,149376,1928,12,468.3
USGS,12186000,00060,149376,1929,1,250
USGS,12186000,00060,149376,1929,2,167.2
USGS,12186000,00060,149376,1929,3,481.4
USGS,12186000,00060,149376,1929,4,653.8
USGS,12186000,00060,149376,1929,5,2024
USGS,12186000,00060,149376,1929,6,2151
USGS,12186000,00060,149376,1929,7,1070
USGS,12186000,00060,149376,1929,8,391.9
USGS,12186000,00060,149376,1929,9,216.7
USGS,12186000,00060,149376,1929,10,239.5
USGS,12186000,00060,149376,1929,11,210.4
USGS,12186000,00060,149376,1929,12,656.9
USGS,12186000,00060,149376,1930,1,284.3
USGS,12186000,00060,149376,1930,2,1545
USGS,12186000,00060,149376,1930,3,700.1
USGS,12186000,00060,149376,1930,4,1523
USGS,12186000,00060,149376,1930,5,1308
USGS,12186000,00060,149376,1930,6,1433
USGS,12186000,00060,149376,1930,7,808.5
USGS,12186000,00060,149376,1930,8,291.3
USGS,12186000,00060,149376,1930,9,239.4
USGS,12186000,00060,149376,1930,10,563.5
USGS,12186000,00060,149376,1930,11,423.6
USGS,12186000,00060,149376,1930,12,433
USGS,12186000,00060,149376,1931,1,1181
USGS,12186000,00060,149376,1931,2,868.8
USGS,12186000,00060,149376,1931,3,1064
USGS,12186000,00060,149376,1931,4,1158
USGS,12186000,00060,149376,1931,5,2018
USGS,12186000,00060,149376,1931,6,1980
USGS,12186000,00060,149376,1931,7,819.2
USGS,12186000,00060,149376,1931,8,250.6
USGS,12186000,00060,149376,1931,9,416
USGS,12186000,00060,149376,1931,10,585.5
USGS,12186000,00060,149376,1931,11,1064
USGS,12186000,00060,149376,1931,12,665
USGS,12186000,00060,149376,1932,1,665.2
USGS,12186000,00060,149376,1932,2,1558
USGS,12186000,00060,149376,1932,3,1482
USGS,12186000,00060,149376,1932,4,1532
USGS,12186000,00060,149376,1932,5,2075
USGS,12186000,00060,149376,1932,6,2513
USGS,12186000,00060,149376,1932,7,1477
USGS,12186000,00060,149376,1932,8,613.7
USGS,12186000,00060,149376,1932,9,315.1
USGS,12186000,00060,149376,1932,10,704.8
USGS,12186000,00060,149376,1932,11,2579
USGS,12186000,00060,149376,1932,12,1230
USGS,12186000,00060,149376,1933,1,890
USGS,12186000,00060,149376,1933,2,297.3
USGS,12186000,00060,149376,1933,3,624.7
USGS,12186000,00060,149376,1933,4,961.5
USGS,12186000,00060,149376,1933,5,1692
USGS,12186000,00060,149376,1933,6,3185
USGS,12186000,00060,149376,1933,7,2805
USGS,12186000,00060,149376,1933,8,1238
USGS,12186000,00060,149376,1933,9,1053
USGS,12186000,00060,149376,1933,10,1704
USGS,12186000,00060,149376,1933,11,1416
USGS,12186000,00060,149376,1933,12,3077
USGS,12186000,00060,149376,1934,1,1968
USGS,12186000,00060,149376,1934,2,948.1
USGS,12186000,00060,149376,1934,3,1698
USGS,12186000,00060,149376,1934,4,1991
USGS,12186000,00060,149376,1934,5,1859
USGS,12186000,00060,149376,1934,6,1231
USGS,12186000,00060,149376,1934,7,769.7
USGS,12186000,00060,149376,1934,8,395
USGS,12186000,00060,149376,1934,9,394
USGS,12186000,00060,149376,1934,10,996.3
USGS,12186000,00060,149376,1934,11,1970
USGS,12186000,00060,149376,1934,12,1102
USGS,12186000,00060,149376,1935,1,2108
USGS,12186000,00060,149376,1935,2,1199
USGS,12186000,00060,149376,1935,3,666.9
USGS,12186000,00060,149376,1935,4,606.4
USGS,12186000,00060,149376,1935,5,1619
USGS,12186000,00060,149376,1935,6,2151
USGS,12186000,00060,149376,1935,7,1385
USGS,12186000,00060,149376,1935,8,524.6
USGS,12186000,00060,149376,1935,9,426.7
USGS,12186000,00060,149376,1935,10,309
USGS,12186000,00060,149376,1935,11,345.1
USGS,12186000,00060,149376,1935,12,466.4
USGS,12186000,00060,149376,1936,1,707
USGS,12186000,00060,149376,1936,2,267
USGS,12186000,00060,149376,1936,3,647.9
USGS,12186000,00060,149376,1936,4,1536
USGS,12186000,00060,149376,1936,5,2772
USGS,12186000,00060,149376,1936,6,2419
USGS,12186000,00060,149376,1936,7,910.3
USGS,12186000,00060,149376,1936,8,370.3
USGS,12186000,00060,149376,1936,9,313.8
USGS,12186000,00060,149376,1936,10,252.3
USGS,12186000,00060,149376,1936,11,136.8
USGS,12186000,00060,149376,1936,12,1051
USGS,12186000,00060,149376,1937,1,243.7
USGS,12186000,00060,149376,1937,2,272.3
USGS,12186000,00060,149376,1937,3,656.4
USGS,12186000,00060,149376,1937,4,912.2
USGS,12186000,00060,149376,1937,5,1835
USGS,12186000,00060,149376,1937,6,2951
USGS,12186000,00060,149376,1937,7,1307
USGS,12186000,00060,149376,1937,8,426.5
USGS,12186000,00060,149376,1937,9,267.5
USGS,12186000,00060,149376,1937,10,588
USGS,12186000,00060,149376,1937,11,1687
USGS,12186000,00060,149376,1937,12,1380
USGS,12186000,00060,149376,1938,1,891.8
USGS,12186000,00060,149376,1938,2,333.7
USGS,12186000,00060,149376,1938,3,594.9
USGS,12186000,00060,149376,1938,4,1317
USGS,12186000,00060,149376,1938,5,1917
USGS,12186000,00060,149376,1938,6,2051
USGS,12186000,00060,149376,1938,7,952.6
USGS,12186000,00060,149376,1938,8,283.1
USGS,12186000,00060,149376,1938,9,215.3
USGS,12186000,00060,149376,1938,10,509.1
USGS,12186000,00060,149376,1938,11,710.8
USGS,12186000,00060,149376,1938,12,1057
USGS,12186000,00060,149376,1939,1,1324
USGS,12186000,00060,149376,1939,2,460.1
USGS,12186000,00060,149376,1939,3,672.8
USGS,12186000,00060,149376,1939,4,1392
USGS,12186000,00060,149376,1939,5,2303
USGS,12186000,00060,149376,1939,6,1948
USGS,12186000,00060,149376,1939,7,1614
USGS,12186000,00060,149376,1939,8,506
USGS,12186000,00060,149376,1939,9,291.1
USGS,12186000,00060,149376,1939,10,566.8
USGS,12186000,00060,149376,1939,11,870.5
USGS,12186000,00060,149376,1939,12,1795
USGS,12186000,00060,149376,1940,1,780.7
USGS,12186000,00060,149376,1940,2,913.9
USGS,12186000,00060,149376,1940,3,1083
USGS,12186000,00060,149376,1940,4,1160
USGS,12186000,00060,149376,1940,5,1834
USGS,12186000,00060,149376,1940,6,1136
USGS,12186000,00060,149376,1940,7,450.9
USGS,12186000,00060,149376,1940,8,260.9
USGS,12186000,00060,149376,1940,9,195.6
USGS,12186000,00060,149376,1940,10,1034
USGS,12186000,00060,149376,1940,11,711.5
USGS,12186000,00060,149376,1940,12,1067
USGS,12186000,00060,149376,1941,1,677.2
USGS,12186000,00060,149376,1941,2,521
USGS,12186000,00060,149376,1941,3,552
USGS,12186000,00060,149376,1941,4,840.5
USGS,12186000,00060,149376,1941,5,1162
USGS,12186000,00060,149376,1941,6,895.4
USGS,12186000,00060,149376,1941,7,396
USGS,12186000,00060,149376,1941,8,215.5
USGS,12186000,00060,149376,1941,9,749.3
USGS,12186000,00060,149376,1941,10,1441
USGS,12186000,00060,149376,1941,11,1030
USGS,12186000,00060,149376,1941,12,1395
USGS,12186000,00060,149376,1942,1,368.1
USGS,12186000,00060,149376,1942,2,368.9
