#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-11-11 13:13:13 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12150800 SNOHOMISH RIVER NEAR MONROE, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149182	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12150800	00060	149182	1963	2	14910
USGS	12150800	00060	149182	1963	3	6705
USGS	12150800	00060	149182	1963	4	9368
USGS	12150800	00060	149182	1963	5	9547
USGS	12150800	00060	149182	1963	6	7498
USGS	12150800	00060	149182	1963	7	4455
USGS	12150800	00060	149182	1963	8	2361
USGS	12150800	00060	149182	1963	9	2529
USGS	12150800	00060	149182	1963	10	5042
USGS	12150800	00060	149182	1963	11	12450
USGS	12150800	00060	149182	1963	12	10490
USGS	12150800	00060	149182	1964	1	14110
USGS	12150800	00060	149182	1964	2	7768
USGS	12150800	00060	149182	1964	3	8148
USGS	12150800	00060	149182	1964	4	10420
USGS	12150800	00060	149182	1964	5	14940
USGS	12150800	00060	149182	1964	6	23530
USGS	12150800	00060	149182	1964	7	15290
USGS	12150800	00060	149182	1964	8	7885
USGS	12150800	00060	149182	1964	9	6348
USGS	12150800	00060	149182	1964	10	7553
USGS	12150800	00060	149182	1964	11	9118
USGS	12150800	00060	149182	1964	12	15220
USGS	12150800	00060	149182	1965	1	14880
USGS	12150800	00060	149182	1965	2	17610
USGS	12150800	00060	149182	1965	3	7175
