#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-11-11 13:13:10 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12201500 SAMISH RIVER NEAR BURLINGTON, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149446	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12201500	00060	149446	1943	8	35
USGS	12201500	00060	149446	1943	9	30.5
USGS	12201500	00060	149446	1943	10	55.2
USGS	12201500	00060	149446	1943	11	64.2
USGS	12201500	00060	149446	1943	12	220.8
USGS	12201500	00060	149446	1944	1	232.2
USGS	12201500	00060	149446	1944	2	254.4
USGS	12201500	00060	149446	1944	3	202.6
USGS	12201500	00060	149446	1944	4	150.9
USGS	12201500	00060	149446	1944	5	125.1
USGS	12201500	00060	149446	1944	6	80.9
USGS	12201500	00060	149446	1944	7	27.4
USGS	12201500	00060	149446	1944	8	25.1
USGS	12201500	00060	149446	1944	9	44.1
USGS	12201500	00060	149446	1944	10	50
USGS	12201500	00060	149446	1944	11	298.4
USGS	12201500	00060	149446	1944	12	231
USGS	12201500	00060	149446	1945	1	737.5
USGS	12201500	00060	149446	1945	2	385.9
USGS	12201500	00060	149446	1945	3	319.3
USGS	12201500	00060	149446	1945	4	257.5
USGS	12201500	00060	149446	1945	5	174.3
USGS	12201500	00060	149446	1945	6	49.9
USGS	12201500	00060	149446	1945	7	27.7
USGS	12201500	00060	149446	1945	8	25.2
USGS	12201500	00060	149446	1945	9	38.7
USGS	12201500	00060	149446	1945	10	443.8
USGS	12201500	00060	149446	1945	11	648.7
USGS	12201500	00060	149446	1945	12	369.9
USGS	12201500	00060	149446	1946	1	552
USGS	12201500	00060	149446	1946	2	556.2
USGS	12201500	00060	149446	1946	3	546.6
USGS	12201500	00060	149446	1946	4	400.5
USGS	12201500	00060	149446	1946	5	183
USGS	12201500	00060	149446	1946	6	136.5
USGS	12201500	00060	149446	1946	7	71.9
USGS	12201500	00060	149446	1946	8	30.9
USGS	12201500	00060	149446	1946	9	29.4
USGS	12201500	00060	149446	1946	10	84.4
USGS	12201500	00060	149446	1946	11	181.2
USGS	12201500	00060	149446	1946	12	490.1
USGS	12201500	00060	149446	1947	1	529.7
USGS	12201500	00060	149446	1947	2	360.1
USGS	12201500	00060	149446	1947	3	280.2
USGS	12201500	00060	149446	1947	4	293
USGS	12201500	00060	149446	1947	5	112.8
USGS	12201500	00060	149446	1947	6	70
USGS	12201500	00060	149446	1947	7	41.4
USGS	12201500	00060	149446	1947	8	31
USGS	12201500	00060	149446	1947	9	41.2
USGS	12201500	00060	149446	1947	10	193.6
USGS	12201500	00060	149446	1947	11	391.4
USGS	12201500	00060	149446	1947	12	445.9
USGS	12201500	00060	149446	1948	1	476.3
USGS	12201500	00060	149446	1948	2	405.4
USGS	12201500	00060	149446	1948	3	316.7
USGS	12201500	00060	149446	1948	4	243.8
USGS	12201500	00060	149446	1948	5	259.6
USGS	12201500	00060	149446	1948	6	159.3
USGS	12201500	00060	149446	1948	7	65.4
USGS	12201500	00060	149446	1948	8	69.2
USGS	12201500	00060	149446	1948	9	80.2
USGS	12201500	00060	149446	1948	10	145.7
USGS	12201500	00060	149446	1948	11	419.9
USGS	12201500	00060	149446	1948	12	582
USGS	12201500	00060	149446	1949	1	203.3
USGS	12201500	00060	149446	1949	2	655.6
USGS	12201500	00060	149446	1949	3	439.5
USGS	12201500	00060	149446	1949	4	216.4
USGS	12201500	00060	149446	1949	5	184.2
USGS	12201500	00060	149446	1949	6	66.2
USGS	12201500	00060	149446	1949	7	50.2
USGS	12201500	00060	149446	1949	8	39
USGS	12201500	00060	149446	1949	9	54.9
USGS	12201500	00060	149446	1949	10	112.5
USGS	12201500	00060	149446	1949	11	264.3
USGS	12201500	00060	149446	1949	12	798.4
USGS	12201500	00060	149446	1950	1	555.3
USGS	12201500	00060	149446	1950	2	686.5
USGS	12201500	00060	149446	1950	3	698.3
USGS	12201500	00060	149446	1950	4	468.6
USGS	12201500	00060	149446	1950	5	202.5
USGS	12201500	00060	149446	1950	6	102.6
USGS	12201500	00060	149446	1950	7	46.4
USGS	12201500	00060	149446	1950	8	38
USGS	12201500	00060	149446	1950	9	33.6
USGS	12201500	00060	149446	1950	10	149
USGS	12201500	00060	149446	1950	11	339.7
USGS	12201500	00060	149446	1950	12	589
USGS	12201500	00060	149446	1951	1	618.1
USGS	12201500	00060	149446	1951	2	789.2
USGS	12201500	00060	149446	1951	3	393.7
USGS	12201500	00060	149446	1951	4	179.4
USGS	12201500	00060	149446	1951	5	137.7
USGS	12201500	00060	149446	1951	6	54.2
USGS	12201500	00060	149446	1951	7	26.8
USGS	12201500	00060	149446	1951	8	21.1
USGS	12201500	00060	149446	1951	9	20.9
USGS	12201500	00060	149446	1951	10	97.6
USGS	12201500	00060	149446	1951	11	194.2
USGS	12201500	00060	149446	1951	12	312.5
USGS	12201500	00060	149446	1952	1	300.9
USGS	12201500	00060	149446	1952	2	377
