Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1997,8,3.221,2.846,2.674,1.417,1.415,0.157,-0.585,1.131,3.431,2.517,0.172,0.742,0.540,6.730,-1.311,0
1997,9,3.323,2.822,2.669,1.428,1.417,0.166,-0.375,1.224,3.197,2.503,0.153,0.541,0.510,6.740,-0.812,0
1997,10,3.166,2.893,2.704,1.470,1.460,0.216,-0.329,1.282,3.222,2.488,0.189,0.545,0.540,6.790,-1.219,0
1997,11,3.430,3.138,2.834,1.584,1.581,0.329,-0.457,1.341,3.595,2.505,0.304,0.786,0.530,6.780,-1.289,0
1997,12,3.611,3.136,2.789,1.513,1.520,0.252,-0.705,1.216,3.841,2.537,0.347,0.957,0.560,6.750,-1.446,0
1998,1,3.615,3.295,2.979,1.692,1.697,0.416,-0.489,1.403,3.784,2.563,0.316,0.905,0.530,6.700,-1.266,0
1998,2,3.606,3.190,2.950,1.699,1.704,0.459,-0.287,1.451,3.477,2.491,0.240,0.746,0.550,6.760,-1.140,0
1998,3,3.265,2.865,2.689,1.410,1.400,0.111,-0.449,1.208,3.314,2.578,0.176,0.560,0.430,6.710,-0.972,0
1998,4,3.027,2.781,2.572,1.311,1.301,0.031,-0.623,1.079,3.404,2.541,0.209,0.654,0.470,6.740,-1.517,0
1998,5,3.149,2.908,2.593,1.344,1.333,0.074,-0.720,1.094,3.628,2.519,0.315,0.794,0.490,6.760,-1.578,0
1998,6,3.051,2.903,2.570,1.319,1.316,0.062,-0.801,1.051,3.704,2.508,0.333,0.863,0.510,6.750,-1.543,0
1998,7,3.111,2.835,2.558,1.325,1.318,0.078,-0.725,1.055,3.560,2.480,0.277,0.803,0.530,6.720,-1.443,0
1998,8,3.031,2.698,2.533,1.298,1.298,0.063,-0.692,1.003,3.390,2.470,0.165,0.755,0.510,6.670,-1.294,0
1998,9,3.147,2.692,2.565,1.317,1.312,0.060,-0.581,1.055,3.273,2.505,0.127,0.641,0.460,6.720,-1.022,0
1998,10,3.176,2.784,2.538,1.298,1.290,0.043,-0.567,1.108,3.351,2.495,0.246,0.610,0.470,6.770,-1.127,0
1998,11,3.418,3.092,2.744,1.496,1.488,0.232,-0.499,1.296,3.591,2.512,0.348,0.731,0.510,6.750,-1.510,0
1998,12,3.502,2.987,2.642,1.375,1.379,0.117,-0.840,1.074,3.827,2.525,0.345,0.957,0.560,6.770,-1.738,0
1999,1,3.433,2.994,2.694,1.426,1.437,0.180,-0.811,1.091,3.805,2.514,0.300,0.991,0.590,6.750,-1.910,0
1999,2,3.305,3.038,2.811,1.581,1.590,0.368,-0.450,1.294,3.488,2.443,0.227,0.818,0.580,6.820,-1.455,0
1999,3,3.339,2.950,2.736,1.493,1.488,0.240,-0.375,1.287,3.325,2.496,0.214,0.615,0.560,6.830,-0.894,0
1999,4,3.098,2.722,2.511,1.275,1.261,0.011,-0.599,1.062,3.321,2.500,0.211,0.610,0.520,6.810,-1.403,0
1999,5,3.074,2.796,2.521,1.275,1.267,0.013,-0.799,0.999,3.595,2.508,0.275,0.812,0.530,6.780,-1.699,0
1999,6,3.142,2.852,2.558,1.314,1.313,0.068,-0.874,0.989,3.726,2.490,0.294,0.942,0.540,6.750,-1.793,0
1999,7,3.055,2.836,2.571,1.313,1.316,0.061,-0.862,0.987,3.698,2.510,0.265,0.923,0.510,6.670,-1.809,0
1999,8,2.995,2.764,2.575,1.314,1.310,0.046,-0.691,1.036,3.455,2.529,0.189,0.737,0.470,6.670,-1.441,0
1999,9,2.962,2.664,2.529,1.260,1.253,-0.023,-0.666,0.999,3.330,2.552,0.135,0.643,0.410,6.660,-1.110,0
1999,10,3.215,2.695,2.497,1.241,1.225,-0.046,-0.707,0.994,3.402,2.543,0.198,0.661,0.400,6.680,-1.428,0
1999,11,3.303,3.034,2.685,1.429,1.425,0.165,-0.648,1.193,3.682,2.520,0.349,0.813,0.470,6.750,-1.746,0
1999,12,3.165,2.954,2.576,1.342,1.345,0.113,-0.794,1.080,3.748,2.463,0.378,0.907,0.550,6.780,-2.053,0
2000,1,3.273,2.946,2.637,1.399,1.412,0.187,-0.798,1.074,3.744,2.450,0.309,0.985,0.620,6.800,-1.695,0
2000,2,3.329,2.972,2.747,1.495,1.505,0.263,-0.593,1.189,3.565,2.484,0.225,0.856,0.530,6.760,-1.524,0
2000,3,2.988,2.728,2.522,1.320,1.319,0.117,-0.574,1.077,3.302,2.405,0.206,0.691,0.580,6.850,-1.027,0
2000,4,2.997,2.761,2.513,1.284,1.274,0.036,-0.611,1.075,3.372,2.477,0.248,0.647,0.530,6.850,-1.194,0
2000,5,3.054,2.858,2.558,1.321,1.318,0.078,-0.697,1.080,3.555,2.480,0.300,0.775,0.520,6.810,-1.493,0
2000,6,3.131,2.894,2.568,1.312,1.315,0.062,-0.900,0.997,3.794,2.506,0.326,0.962,0.500,6.710,-1.794,0
2000,7,3.136,2.857,2.593,1.309,1.318,0.043,-0.979,0.939,3.836,2.550,0.264,1.022,0.520,6.710,-1.864,0
2000,8,3.130,2.764,2.572,1.286,1.287,0.002,-0.842,0.961,3.606,2.570,0.192,0.844,0.480,6.700,-1.763,0
2000,9,3.086,2.713,2.545,1.291,1.286,0.028,-0.599,1.057,3.312,2.517,0.168,0.627,0.490,6.760,-1.042,0
2000,10,3.079,2.776,2.566,1.326,1.322,0.079,-0.612,1.082,3.388,2.487,0.210,0.691,0.480,6.770,-1.122,0
2000,11,3.130,2.827,2.495,1.256,1.257,0.019,-0.846,0.991,3.673,2.476,0.332,0.865,0.480,6.780,-1.689,0
2000,12,3.262,2.929,2.548,1.307,1.314,0.081,-0.906,1.011,3.835,2.467,0.381,0.987,0.500,6.740,-1.914,0
2001,1,3.394,2.959,2.601,1.355,1.359,0.118,-0.828,1.065,3.787,2.483,0.358,0.946,0.500,6.680,-1.704,0
2001,2,3.157,2.795,2.564,1.298,1.311,0.058,-0.797,0.999,3.592,2.506,0.231,0.855,0.550,6.740,-1.970,0
2001,3,3.074,2.712,2.532,1.302,1.301,0.070,-0.659,1.026,3.371,2.462,0.180,0.729,0.460,6.730,-1.222,0
2001,4,2.989,2.728,2.484,1.256,1.260,0.035,-0.741,0.993,3.469,2.449,0.244,0.776,0.470,6.780,-1.266,0
2001,5,3.063,2.823,2.483,1.251,1.242,0.001,-0.828,0.997,3.651,2.482,0.340,0.829,0.480,6.780,-1.637,0
2001,6,3.176,2.861,2.517,1.261,1.264,0.010,-0.922,0.969,3.783,2.507,0.344,0.932,0.520,6.730,-1.911,0
2001,7,3.119,2.825,2.536,1.273,1.289,0.042,-0.963,0.931,3.788,2.494,0.289,1.005,0.520,6.730,-1.881,0
2001,8,3.160,2.784,2.555,1.311,1.323,0.092,-0.812,0.986,3.596,2.463,0.229,0.904,0.510,6.760,-1.752,0
2001,9,3.004,2.718,2.528,1.297,1.296,0.064,-0.639,1.039,3.357,2.464,0.190,0.703,0.500,6.760,-1.258,0
2001,10,3.032,2.742,2.503,1.278,1.273,0.044,-0.589,1.077,3.331,2.459,0.239,0.633,0.480,6.790,-1.312,0
2001,11,3.393,3.009,2.670,1.446,1.450,0.229,-0.637,1.186,3.646,2.441,0.339,0.866,0.520,6.790,-1.421,0
2001,12,3.381,3.067,2.707,1.461,1.478,0.249,-0.816,1.125,3.883,2.458,0.360,1.065,0.550,6.760,-1.591,0
2002,1,3.494,3.034,2.715,1.433,1.457,0.198,-0.886,1.074,3.920,2.517,0.319,1.084,0.530,6.700,-1.821,0
2002,2,3.233,2.860,2.591,1.364,1.378,0.166,-0.719,1.071,3.579,2.425,0.269,0.885,0.560,6.770,-1.650,0
2002,3,3.099,2.809,2.592,1.328,1.325,0.059,-0.627,1.091,3.436,2.533,0.217,0.686,0.490,6.780,-1.197,0
2002,4,3.142,2.768,2.512,1.267,1.266,0.021,-0.756,1.006,3.524,2.491,0.256,0.777,0.500,6.820,-1.547,0
2002,5,3.129,2.824,2.488,1.255,1.257,0.026,-0.913,0.955,3.737,2.462,0.336,0.939,0.500,6.780,-1.642,0
2002,6,3.165,2.858,2.509,1.283,1.293,0.077,-0.931,0.963,3.789,2.432,0.349,1.008,0.550,6.760,-1.613,0
2002,7,3.179,2.831,2.534,1.312,1.327,0.121,-0.820,1.006,3.651,2.413,0.297,0.941,0.540,6.690,-1.618,0
