Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1901,1,6.187,5.861,5.563,4.368,4.380,3.197,2.225,4.043,3.636,2.365,0.299,0.972,0.520,6.650,1.554,0
1901,2,6.035,5.745,5.453,4.282,4.289,3.124,2.362,4.053,3.383,2.329,0.293,0.762,0.430,6.590,1.768,0
1901,3,6.126,5.602,5.413,4.258,4.249,3.082,2.435,4.019,3.167,2.332,0.189,0.646,0.490,6.710,1.798,0
1901,4,5.883,5.492,5.297,4.142,4.127,2.957,2.268,3.880,3.224,2.341,0.195,0.689,0.460,6.690,1.372,0
1901,5,6.005,5.697,5.386,4.221,4.212,3.036,2.201,3.949,3.496,2.350,0.311,0.835,0.500,6.710,1.219,0
1901,6,5.944,5.678,5.346,4.179,4.176,3.002,2.100,3.889,3.578,2.344,0.332,0.902,0.510,6.670,1.128,0
1901,7,5.822,5.605,5.361,4.173,4.182,3.005,2.155,3.880,3.450,2.356,0.244,0.850,0.500,6.620,1.341,0
1901,8,5.913,5.544,5.331,4.185,4.157,2.987,2.295,3.920,3.249,2.344,0.213,0.692,0.400,6.580,1.646,0
1901,9,5.913,5.529,5.404,4.221,4.212,3.018,2.463,3.996,3.066,2.387,0.125,0.555,0.410,6.620,1.920,0
1901,10,6.005,5.538,5.371,4.185,4.182,2.996,2.316,3.927,3.222,2.374,0.168,0.680,0.360,6.610,1.372,0
1901,11,6.279,5.803,5.508,4.319,4.322,3.136,2.268,4.035,3.535,2.371,0.296,0.869,0.450,6.680,1.402,0
1901,12,6.370,5.761,5.441,4.249,4.255,3.072,2.079,3.920,3.682,2.368,0.320,0.994,0.480,6.650,1.067,0
1902,1,6.005,5.721,5.438,4.249,4.255,3.069,2.082,3.901,3.639,2.368,0.283,0.988,0.510,6.610,1.402,0
1902,2,6.187,5.831,5.624,4.447,4.456,3.292,2.536,4.184,3.295,2.332,0.207,0.756,0.500,6.680,2.012,0
1902,3,6.035,5.617,5.465,4.319,4.313,3.161,2.545,4.081,3.072,2.304,0.152,0.616,0.430,6.700,1.981,0
1902,4,6.005,5.599,5.386,4.221,4.215,3.042,2.368,3.984,3.231,2.344,0.213,0.674,0.410,6.700,1.524,0
1902,5,5.913,5.703,5.410,4.240,4.228,3.042,2.219,3.961,3.484,2.368,0.293,0.823,0.430,6.670,1.341,0
