Year,CO2_ppm,Source
-796562,191,"EPICA Dome C and  Vostok Station,  Antarctica"
-795149,188.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-794517,189.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-793252,195.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-792658,199.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-791310,209,"EPICA Dome C and  Vostok Station,  Antarctica"
-790993,204,"EPICA Dome C and  Vostok Station,  Antarctica"
-790131,205.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-789541,215.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-788588,221.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-788203,218.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-787431,226.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-786937,229.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-786083,247.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-785855,248.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-785126,256.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-784637,260.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-783839,255.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-783463,253.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-782742,250.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-782197,246.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-781313,252.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-780109,246.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-779585,248.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-778662,242.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-778318,248.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-777414,243.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-776848,245.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-775950,246.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-775606,246.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-774686,243.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-774087,238.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-773101,240.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-772598,236.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-771730,233.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-771093,230,"EPICA Dome C and  Vostok Station,  Antarctica"
-770126,230.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-769758,229.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-769310,237.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-769044,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-768774,238.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-768497,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-768183,231.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-767837,226,"EPICA Dome C and  Vostok Station,  Antarctica"
-767564,228.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-767100,221.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-766705,222.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-765787,217.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-765146,213.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-764160,215.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-763785,216.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-762883,222.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-762299,224.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-761984,221.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-761736,225.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-761369,215,"EPICA Dome C and  Vostok Station,  Antarctica"
-760921,216,"EPICA Dome C and  Vostok Station,  Antarctica"
-760114,212,"EPICA Dome C and  Vostok Station,  Antarctica"
-759503,206.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-758550,206.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-758252,208.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-757356,214.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-756933,217.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-756525,217.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-756309,215.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-756012,219.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-755611,215,"EPICA Dome C and  Vostok Station,  Antarctica"
-754921,210.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-754407,206,"EPICA Dome C and  Vostok Station,  Antarctica"
-753545,201.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-753291,200.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-752444,195.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-752034,191.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-751028,196.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-750655,188,"EPICA Dome C and  Vostok Station,  Antarctica"
-749880,190.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-749351,186.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-748526,184,"EPICA Dome C and  Vostok Station,  Antarctica"
-748244,184.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-747451,182.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-746963,181.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-746151,180.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-745809,180.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-745160,180.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-744693,183.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-743886,180.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-742893,182,"EPICA Dome C and  Vostok Station,  Antarctica"
-742404,181.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-741639,180.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-741283,181.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-740608,182.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-740125,177.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-739357,176.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-739071,178.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-738327,178.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-737892,185,"EPICA Dome C and  Vostok Station,  Antarctica"
-737187,197.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-736894,200.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-736322,206.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-735939,210.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-735316,211.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-735084,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-734510,209.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-734129,204.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-733509,201.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-733217,201.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-732654,207.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-732273,205.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-731593,204.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-731311,203.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-730598,205.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-730191,203.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-729379,204.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-728999,204.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-728349,204,"EPICA Dome C and  Vostok Station,  Antarctica"
-726971,205.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-726618,205.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-725782,205.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-725242,204.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-724372,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-723987,206.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-723109,206.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-722495,210.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-721514,213.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-721183,213.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-720089,211.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-719368,206.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-718387,195.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-717844,187.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-716829,184.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-716114,192.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-715115,205,"EPICA Dome C and  Vostok Station,  Antarctica"
-714754,208.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-713800,222.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-713230,217.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-712338,221.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-711893,222.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-710883,218.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-709471,218.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-709154,218.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-708287,220.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-707730,219.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-704459,228.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-704191,228.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-703460,228.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-703023,233.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-702261,231.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-701984,231.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-701434,232.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-701038,232.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-700431,230.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-700208,229.3,"EPICA Dome C and  Vostok Station,  Antarctica"
-699656,228.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-699292,228.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-698794,227.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-698439,228.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-697959,226,"EPICA Dome C and  Vostok Station,  Antarctica"
-697683,227.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-697152,227.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-696930,226.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-696436,228,"EPICA Dome C and  Vostok Station,  Antarctica"
-696170,231,"EPICA Dome C and  Vostok Station,  Antarctica"
-695710,232.2,"EPICA Dome C and  Vostok Station,  Antarctica"
-695381,232.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-695013,232.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-694767,235.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-694337,234.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-694112,234.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-693668,237.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-693433,236.7,"EPICA Dome C and  Vostok Station,  Antarctica"
-692991,236.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-692722,235.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-692350,234.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-692118,235.4,"EPICA Dome C and  Vostok Station,  Antarctica"
-691689,234.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-691483,234.1,"EPICA Dome C and  Vostok Station,  Antarctica"
-691040,234.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-690815,232.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-690388,235.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-690107,235.5,"EPICA Dome C and  Vostok Station,  Antarctica"
-689722,236.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-689482,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-689049,234,"EPICA Dome C and  Vostok Station,  Antarctica"
-688821,240,"EPICA Dome C and  Vostok Station,  Antarctica"
-688344,234.8,"EPICA Dome C and  Vostok Station,  Antarctica"
-688107,235.6,"EPICA Dome C and  Vostok Station,  Antarctica"
-687653,239.9,"EPICA Dome C and  Vostok Station,  Antarctica"
-687354,235.8,"EPICA Dome C and  Vostok Station,  Antarctica"
