Indicator ID,Indicator,Country,Year,Value
SP.POP.TOTL,"Population, total",World,1960,3032156070.0
SP.POP.TOTL,"Population, total",World,1961,3071596055.0
SP.POP.TOTL,"Population, total",World,1962,3124561005.0
SP.POP.TOTL,"Population, total",World,1963,3189655687.0
SP.POP.TOTL,"Population, total",World,1964,3255145692.0
SP.POP.TOTL,"Population, total",World,1965,3322046795.0
SP.POP.TOTL,"Population, total",World,1966,3392097729.0
SP.POP.TOTL,"Population, total",World,1967,3461619724.0
SP.POP.TOTL,"Population, total",World,1968,3532782993.0
SP.POP.TOTL,"Population, total",World,1969,3606553753.0
SP.POP.TOTL,"Population, total",World,1970,3681975908.0
SP.POP.TOTL,"Population, total",World,1971,3760516757.0
SP.POP.TOTL,"Population, total",World,1972,3836900801.0
SP.POP.TOTL,"Population, total",World,1973,3912984371.0
SP.POP.TOTL,"Population, total",World,1974,3988487336.0
SP.POP.TOTL,"Population, total",World,1975,4062507027.0
SP.POP.TOTL,"Population, total",World,1976,4135432265.0
SP.POP.TOTL,"Population, total",World,1977,4207786422.0
SP.POP.TOTL,"Population, total",World,1978,4281339378.0
SP.POP.TOTL,"Population, total",World,1979,4356778367.0
SP.POP.TOTL,"Population, total",World,1980,4432963653.0
SP.POP.TOTL,"Population, total",World,1981,4511164132.0
SP.POP.TOTL,"Population, total",World,1982,4592387213.0
SP.POP.TOTL,"Population, total",World,1983,4674330282.0
SP.POP.TOTL,"Population, total",World,1984,4755996689.0
SP.POP.TOTL,"Population, total",World,1985,4839176734.0
SP.POP.TOTL,"Population, total",World,1986,4924747934.0
SP.POP.TOTL,"Population, total",World,1987,5012556248.0
SP.POP.TOTL,"Population, total",World,1988,5101287675.0
SP.POP.TOTL,"Population, total",World,1989,5189977062.0
SP.POP.TOTL,"Population, total",World,1990,5280062644.0
SP.POP.TOTL,"Population, total",World,1991,5368139818.0
SP.POP.TOTL,"Population, total",World,1992,5452576967.0
SP.POP.TOTL,"Population, total",World,1993,5537885402.0
SP.POP.TOTL,"Population, total",World,1994,5622085293.0
SP.POP.TOTL,"Population, total",World,1995,5706753581.0
SP.POP.TOTL,"Population, total",World,1996,5789655178.0
SP.POP.TOTL,"Population, total",World,1997,5872284397.0
SP.POP.TOTL,"Population, total",World,1998,5954004340.0
SP.POP.TOTL,"Population, total",World,1999,6034484369.0
SP.POP.TOTL,"Population, total",World,2000,6114324044.0
SP.POP.TOTL,"Population, total",World,2001,6193663732.0
SP.POP.TOTL,"Population, total",World,2002,6272724236.0
SP.POP.TOTL,"Population, total",World,2003,6351855732.0
SP.POP.TOTL,"Population, total",World,2004,6431527221.0
SP.POP.TOTL,"Population, total",World,2005,6511724848.0
SP.POP.TOTL,"Population, total",World,2006,6592711655.0
SP.POP.TOTL,"Population, total",World,2007,6674181848.0
SP.POP.TOTL,"Population, total",World,2008,6757000414.0
SP.POP.TOTL,"Population, total",World,2009,6839553692.0
SP.POP.TOTL,"Population, total",World,2010,6921854591.0
SP.POP.TOTL,"Population, total",World,2011,7003760440.0
SP.POP.TOTL,"Population, total",World,2012,7089254548.0
SP.POP.TOTL,"Population, total",World,2013,7175500378.0
SP.POP.TOTL,"Population, total",World,2014,7261846543.0
SP.POP.TOTL,"Population, total",World,2015,7347679005.0
SP.POP.TOTL,"Population, total",World,2016,7433569330.0
SP.POP.TOTL,"Population, total",World,2017,7519183399.0
SP.POP.TOTL,"Population, total",World,2018,7602432733.0
SP.POP.TOTL,"Population, total",World,2019,7683437977.0
SP.POP.TOTL,"Population, total",World,2020,7763498647.0
